addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
강원특별자치도 삼척시 가곡면 탕곡리,506-5,32,,A03,A0302,A03021700,2994101,28,2.02307E+13,http://tong.visitkorea.or.kr/cms/resource/98/2994098_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2994098_image3_1.jpg,Type3,129.2080294,37.15214937,6,2.02307E+13,4,033-572-1800,가곡국민여가캠핑장,25954
강원특별자치도 삼척시 가곡면 탕곡리,509-3,32,,A02,A0202,A02020300,2994116,12,2.02307E+13,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296,37.15074949,6,2.02405E+13,4,033-572-1800,가곡유황온천&스파,25954
"부산광역시 부산진구 가야대로 779,1층(부전동)",,6,,A04,A0401,A04011000,2930927,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/49/2885349_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2885349_image3_1.jpg,Type3,129.0568336,35.15799478,6,2.02403E+13,7,,가까운약국 서면,47257
경상북도 문경시 문경대로 625-1,,35,,A05,A0502,A05020900,2828355,39,2.02207E+13,,,,128.1563529,36.61488266,6,2.02401E+13,7,,가나다라브루어리,36989
서울특별시 강남구 언주로 608,,1,,A05,A0502,A05020100,2871024,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/08/2871008_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/08/2871008_image3_1.JPG,Type3,127.0377756,37.50996744,6,2.02307E+13,1,,가나돈까스의집,6102
대전광역시 유성구 신성로84번길 49,,3,,A05,A0502,A05020100,1928589,39,2.01406E+13,http://tong.visitkorea.or.kr/cms/resource/30/3062830_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/3062830_image3_1.JPG,Type3,127.35127,36.38901617,6,2.02312E+13,4,042-862-9288,가나샤브샤브,34116
서울특별시 종로구 평창30길 28,(평창동),1,0,A02,A0206,A02060500,129854,14,2.00711E+13,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,Type3,126.9751811,37.61220999,6,2.02312E+13,23,,가나아트센터,3004
경기도 양주시 장흥면 권율로 117,,31,0,A02,A0202,A02020600,129194,12,2.00608E+13,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,Type3,126.9497497,37.72545191,6,2.02312E+13,18,,가나아트파크,11520
경기도 고양시 덕양구 행주로15번길 16,,31,,A05,A0502,A05020100,2894914,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image3_1.jpg,Type3,126.8278866,37.600917,6,2.02407E+13,2,,가나안국수,10440
경기도 하남시 서하남로390번길 14,(춘궁동),31,,A05,A0502,A05020100,2781914,39,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/80/2782380_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2782380_image2_1.jpg,Type3,127.1825676,37.52119652,6,2.02312E+13,30,,가나안덕하남점 (가나안 덕(DUCK)),13016
서울특별시 강남구 도산대로 113(신사동),,1,,A04,A0401,A04011000,2899721,38,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/58/2887858_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2887858_image3_1.jpg,Type3,127.0208658,37.51706353,6,2.02403E+13,1,,가나안약국,6035
경기도 고양시 일산동구 애니골길 54,1층 전체 호 고기,31,,A05,A0502,A05020100,2831563,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image3_1.JPG,Type3,126.79211,37.67219418,6,2.02401E+13,2,,가나안장어마을,10301
대전광역시 유성구 대덕대로 588,2층,3,,A05,A0502,A05020700,250577,39,2.0071E+13,http://tong.visitkorea.or.kr/cms/resource/78/3032478_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/3032478_image3_1.JPG,Type3,127.3788898,36.38535041,6,2.02407E+13,4,042-861-7557,가남지,34121
경기도 여주시 가남읍 대명산길 98,,31,0,A02,A0202,A02020700,2777865,12,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,Type3,127.5349142,37.20170935,6,2.02302E+13,20,,가남체육공원,12662
서울특별시 중구 남대문로 81,,1,,A04,A0401,A04011000,2928947,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/11/2889211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2889211_image3_1.jpg,Type3,126.9817486,37.56478229,6,2.02403E+13,24,,가네시 롯데본점,4533
경기도 이천시 호법면 프리미엄아울렛로 177-74,,31,,A04,A0401,A04011000,2900895,38,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/86/2882286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2882286_image3_1.jpg,Type3,127.4000447,37.24227722,6,2.02404E+13,26,,가넷,17384
서울특별시 금천구 디지털로 185 (가산동),,1,,A04,A0401,A04011000,3306525,38,2.02402E+13,http://tong.visitkorea.or.kr/cms/resource/47/3314547_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/3314547_image3_1.jpg,Type3,126.8872263,37.47826009,6,2.02406E+13,8,,가넷옴므,8511
제주특별자치도 제주시 세화14길 3,,39,,A05,A0502,A05020900,2850913,39,2.02209E+13,http://tong.visitkorea.or.kr/cms/resource/08/2850908_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2850908_image3_1.jpg,Type3,126.8606962,33.52052791,6,2.02401E+13,4,,가는곶 세화,63361
서울특별시 강남구 언주로167길 35,,1,,A05,A0502,A05020400,2869760,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/54/2869754_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2869754_image3_1.JPG,Type3,127.030273,37.52642095,6,2.02402E+13,1,,가담,6022
부산광역시 강서구 천성동 308-2,,6,0,A01,A0101,A01011300,2715601,12,2.02105E+13,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,Type3,128.8169442,35.02296383,6,2.02307E+13,1,,가덕도,
부산광역시 강서구 외양포로 10,,6,0,A01,A0101,A01011600,129156,12,2.00607E+13,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image3_1.jpg,Type3,128.8295937,35.00064712,6,2.02311E+13,1,,가덕도 등대,46771
부산광역시 강서구 천성동,,6,0,A01,A0101,A01010400,2726843,12,2.02107E+13,,,,128.8216714,35.03175182,6,2.02312E+13,1,,가덕도 연대봉,
부산광역시 강서구 대항동 393-9,(대항동),6,0,A01,A0101,A01011900,2789460,12,2.02112E+13,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,Type3,128.8274686,35.01330955,6,2.02312E+13,1,,가덕도대항인공동굴,46771
부산광역시 강서구 대항동,162-1,6,,A02,A0205,A02050600,3015365,12,2.02309E+13,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,Type3,128.8310519,35.00178313,6,2.02309E+13,1,,가덕도외양포전망대,46771
인천광역시 중구 연안부두로 61,,2,,A05,A0502,A05020100,597467,39,2.00807E+13,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image3_1.jpg,Type3,126.5998643,37.45348843,6,2.02312E+13,10,032-882-8505,가덕도횟집,22348
경기도 가평군 북면,,31,0,A01,A0101,A01010400,125462,12,2.00303E+13,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image3_1.jpg,Type3,127.5683098,37.92023219,6,2.02404E+13,1,,가덕산,"477-840,1"
충청북도 청주시 상당구 단재로 940,,33,,A05,A0502,A05020100,2903777,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/63/2903763_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/63/2903763_image3_1.png,Type3,127.5291215,36.56349102,6,2.02406E+13,10,,가덕한우정육점,28190
대전광역시 유성구 반석로 136-6,1층,3,,A05,A0502,A05020200,2866692,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/83/2866683_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2866683_image3_1.jpg,Type3,127.2997524,36.38981238,6,2.02302E+13,4,,가데나 레스토랑,34065
,,32,,C01,C0112,C01120001,2361026,25,2.01601E+13,http://tong.visitkorea.or.kr/cms/resource/01/1964001_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1964001_image3_1.jpg,Type3,128.6003708,38.2133149,6,2.02308E+13,5,,가도 가도 또 가고 싶은 여행지의 스테디셀러,
경기도 파주시 헤이리마을길 59-52,가드너스,31,,A05,A0502,A05020900,2846052,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image3_1.JPG,Type3,126.6961266,37.78970377,6,2.02401E+13,27,,가드너스,10859
경기도 구리시 동구릉로460번길 114,가드니아 타운 2층,31,,A05,A0502,A05020900,2901496,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image3_1.jpg,Type3,127.1445094,37.63793227,6,2.02407E+13,6,,가드니아 제빵소 본점,11906
경기도 남양주시 강변북로632번길 57-28,,31,,A05,A0502,A05020200,798518,39,2.00909E+13,,,,127.1740748,37.58788307,6,2.02406E+13,9,031-566-7777,가든갤러리,12268
경상북도 청송군 경동로 5185,,35,,A05,A0502,A05020100,2900308,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/90/2900290_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2900290_image3_1.jpg,Type3,129.1218148,36.50410232,6,2.02402E+13,21,,가든세계평화,37411
경기도 이천시 부발읍 경충대로2300번길 21-7,,31,,A05,A0502,A05020100,134960,39,2.00503E+13,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image3_1.jpg,Type3,127.4733791,37.26453708,6,2.02306E+13,26,031-636-9222,가든이천공원,17327
전북특별자치도 무주군 원통사로 373-7,,37,,A05,A0502,A05020900,2877540,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/27/2877527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2877527_image3_1.jpg,Type3,127.680639,35.83293263,6,2.02404E+13,5,,가든카페 명천마루,55542
서울특별시 송파구 충민로 66,,1,,A04,A0401,A04010600,732484,38,2.00905E+13,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image3_1.jpg,Type3,127.1229354,37.47700613,6,2.02307E+13,18,,가든파이브라이프(Garden5life),5838
인천광역시 계양구 경명대로 977,,2,,A05,A0502,A05020100,2876098,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/96/2876096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2876096_image3_1.jpg,Type3,126.7155151,37.54416049,6,2.0221E+13,2,,가든파티 계양점,21042
충청북도 청주시 청원구 도원세교로 222-6,,33,,A05,A0502,A05020900,2860348,39,2.02209E+13,http://tong.visitkorea.or.kr/cms/resource/35/2860335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2860335_image3_1.jpg,Type3,127.5479606,36.69688717,6,2.02402E+13,10,,가든포레스트,28150
경기도 광주시 용수길 200-22,1층,31,,A05,A0502,A05020900,2893507,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/99/2893499_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2893499_image3_1.jpg,Type3,127.3121789,37.3937942,6,2.02211E+13,5,,가디온,12729
경상남도 거제시 남부면 다대리,(남부면),36,0,A01,A0101,A01010400,127257,12,2.0031E+13,,,,128.6303347,34.74105029,6,2.02406E+13,1,,가라산,53322
서울특별시 송파구 송이로19길 3,(가락동),1,,A05,A0502,A05020100,2757617,39,2.0211E+13,,,,127.1217599,37.49751206,6,2.02311E+13,18,,가락골마산아구찜,5714
서울특별시 송파구 송파대로28길 5,(가락동),1,,B02,B0201,B02010100,142785,32,2.00404E+13,,,,127.1166299,37.49665651,6,2.02312E+13,18,02-400-6641~3,가락관광호텔,5719
서울특별시 송파구 양재대로 932,(가락동),1,,A04,A0401,A04010200,132215,38,2.00311E+13,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image3_1.jpg,Type3,127.1109832,37.49609259,6,2.02405E+13,18,02-3435-1000,가락농수산물종합도매시장,5699
서울특별시 송파구 양재대로 932,(가락동),1,,A04,A0401,A04010600,2757647,38,2.0211E+13,,,,127.1110193,37.49615647,6,2.02302E+13,18,,가락몰,5699
서울특별시 송파구 양재대로 932 (가락동),가락몰,1,,A02,A0207,A02070200,3113671,15,2.02404E+13,http://tong.visitkorea.or.kr/cms/resource/43/3115843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3115843_image3_1.jpg,Type3,127.1107693,37.4960787,6,2.02405E+13,18,02-3435-0455,가락몰 빵축제 전국빵지자랑,5699
서울특별시 송파구 양재대로 932,(가락동),1,,A04,A0401,A04010200,2757640,38,2.0211E+13,,,,127.1110193,37.49615647,6,2.02312E+13,18,,가락수산시장,5699
전북특별자치도 전주시 완산구 한지길 68,(풍남동3가),37,,B02,B0201,B02011600,2671267,32,2.02009E+13,,,,127.1535668,35.81732238,,2.02401E+13,12,,가락청,55041
충청북도 제천시 수산면 월악로 2970,,33,,A05,A0502,A05020100,2013680,39,2.01507E+13,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,Type3,128.1772086,36.93293547,6,2.02405E+13,7,043-651-2264,가람,27220
경기도 광주시 남종면 산수로 1633-20,,31,,A05,A0502,A05020200,2736710,39,2.02108E+13,http://tong.visitkorea.or.kr/cms/resource/69/2750669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2750669_image2_1.jpg,Type3,127.2991161,37.4959349,6,2.0231E+13,5,,가람,12708
제주특별자치도 제주시 복지로북길 4,1층,39,,A05,A0502,A05020100,2906155,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/52/2906152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2906152_image3_1.jpg,Type3,126.520657,33.48887873,6,2.02407E+13,4,,가람,63220
경상남도 합천군 봉산면 인덕로 930,,36,,A03,A0302,A03021700,2740980,28,2.02109E+13,http://tong.visitkorea.or.kr/cms/resource/51/2741151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2741151_image2_1.jpg,Type3,128.0576567,35.58745884,6,2.02312E+13,21,,가람관광농원,50210
서울특별시 강남구 언주로135길 13,,1,,A05,A0502,A05020100,2871443,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/32/2871032_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2871032_image3_1.jpg,Type3,127.034109,37.51684157,6,2.02404E+13,1,,가람국시,6053
경기도 파주시 소라지로327번길 126-21,(송촌동),31,,B02,B0201,B02011600,2627867,32,2.0191E+13,,,,126.6891949,37.75474939,,2.02012E+13,27,,가람나무,10863
제주특별자치도 서귀포시 중문관광로 332,(대포동),39,,A05,A0502,A05020100,2755053,39,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/47/2755047_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2755047_image2_1.jpg,Type3,126.4313173,33.24968431,6,2.02312E+13,3,,가람돌솥밥,63544
강원특별자치도 홍천군 두촌면 부채들길 29,,32,,A02,A0202,A02020200,2761729,28,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/68/2762468_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2762468_image2_1.JPG,Type3,128.0183741,37.8364809,6,2.02307E+13,16,,가람리조트,25164
전북특별자치도 익산시 가람1길 76 가람문학관,,37,,A02,A0206,A02060200,2994669,14,2.02401E+13,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image3_1.jpg,Type3,127.084495,36.03536023,6,2.02401E+13,9,,가람문학관,54520
전라남도 여수시 화산로 20,,38,,A05,A0502,A05020100,2507936,39,2.01701E+13,,,,127.6408868,34.77152945,6,2.02309E+13,13,061-683-3559,가람복집,59643
경기도 남양주시 화도읍 금남리 146 가람수상레져,,31,,A03,A0301,A03010200,3045767,28,2.02311E+13,http://tong.visitkorea.or.kr/cms/resource/53/3045753_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/3045753_image3_1.JPG,Type3,127.3680193,37.64772409,6,2.02311E+13,9,,가람수상스키 웨이크보드 웨이크서핑,12193
경기도 용인시 처인구 원양로 250-14,,31,,A05,A0502,A05020100,2860249,39,2.02209E+13,,,,127.3067354,37.18231857,6,2.02402E+13,23,,가람오리구이,17167
강원특별자치도 강릉시 공항길30번길 16,,32,,A05,A0502,A05020100,2868839,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/29/2868829_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/29/2868829_image3_1.jpeg,Type3,128.939332,37.76119342,6,2.02307E+13,1,,가람집감자적옹심이,25617
경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,,B02,B0201,B02011600,1865597,32,2.01312E+13,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg,Type1,128.516348,36.53906745,6,2.02309E+13,11,010-3849-7542,가람초연재[한국관광 품질인증/Korea Quality],36760
서울특별시 종로구 인사동10길 11,,1,0,A02,A0206,A02060500,129898,14,2.00711E+13,,,,126.9856035,37.5742757,6,2.02406E+13,23,,가람화랑,3146
전라남도 곡성군 곡성읍 읍내18길 6,,38,,A05,A0502,A05020900,2640274,39,2.01912E+13,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,Type3,127.2985233,35.28252717,6,2.02309E+13,3,061-363-0865,가랑드,57535
경기도 포천시 창수면 포천로2811번길 178,,31,,A03,A0302,A03021700,2743845,28,2.02109E+13,http://tong.visitkorea.or.kr/cms/resource/78/2743978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2743978_image2_1.jpg,Type3,127.1549676,37.99413264,6,2.02301E+13,29,,가래골 농원캠핑장2,11134
경기도 포천시 창수면 포천로2811번길 178,경기도 포천시 창수면 추동리 821번지,31,,A03,A0302,A03021700,2726655,28,2.02107E+13,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg,Type3,127.1576007,37.99332722,6,2.02308E+13,29,,가래골캠핑장,11134
경기도 양주시 광적면 가납리 738-29,,31,,A04,A0401,A04010200,2748296,38,2.02109E+13,http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg,Type3,126.9841493,37.82383273,6,2.02406E+13,18,,가래비시장(가납시장),
경상북도 영천시 화산면 가래실로 364,,35,0,A02,A0201,A02010600,2753576,12,2.0211E+13,,,,128.8892739,36.03280701,6,2.0231E+13,15,,가래실 문화마을,38808
경기도 여주시 점동면 가래울길 29,,31,,A05,A0502,A05020100,2768070,39,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/93/2768293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2768293_image2_1.jpg,Type3,127.675607,37.20518375,6,2.02312E+13,20,,가래울 해장국,12665
전북특별자치도 부안군 변산면 새만금로 447-27,,37,0,A01,A0101,A01011400,2743285,12,2.02401E+13,,,,126.5314023,35.7269248,6,2.02401E+13,6,,가력도항,56343
강원특별자치도 홍천군 내촌면 와야리,,32,0,A01,A0101,A01010800,125658,12,2.00308E+13,,,,128.1601919,37.83289511,7,2.02406E+13,16,,가령폭포,"250-863,3"
충청남도 서산시 팔봉면 범머리길 80,,34,,A03,A0302,A03021700,2792073,28,2.02112E+13,http://tong.visitkorea.or.kr/cms/resource/16/2793116_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2793116_image2_1.jpg,Type3,126.3294362,36.834561,6,2.0231E+13,7,,가로림글램핑,31921
경기도 양평군 지평면 부일길 101,(지평면),31,0,A02,A0203,A02030100,1553085,12,2.01202E+13,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,Type3,127.6140193,37.45173466,6,2.02302E+13,19,,가루매마을,12544
충청남도 예산군 가루실길 180,,34,,A05,A0502,A05020100,2823496,39,2.02206E+13,,,,126.6435541,36.6615197,6,2.02401E+13,11,,가루실가든,32408
충청남도 예산군 덕산면 가루실길 307-8,,34,,A03,A0302,A03021700,2726649,28,2.02107E+13,http://tong.visitkorea.or.kr/cms/resource/95/2728195_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2728195_image2_1.jpg,Type3,126.6391519,36.65146522,6,2.02312E+13,11,,가루실캠핑장,32408
제주특별자치도 서귀포시 법환하로9번길 10,,39,,B02,B0201,B02010700,1896032,32,2.01402E+13,,,,126.5123384,33.23658703,6,2.02405E+13,3,064-739-4499,가름게스트하우스,63573
강원특별자치도 인제군 인제읍 대목리길 137,,32,,B02,B0201,B02010700,2571998,32,2.01812E+13,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,Type3,128.3383768,38.07318725,,2.02407E+13,10,033-463-1212,가리벨리 관광펜션(가리벨리관광펜션휴양타운),24643
서울특별시 구로구 우마3길 19,(가리봉동),1,,A04,A0401,A04010200,2758198,38,2.0211E+13,,,,126.889376,37.4817875,6,2.02304E+13,7,,가리봉시장,8387
인천광역시 남동구 오봉동로4번길 9,(도림동),2,,A05,A0502,A05020100,2768130,39,2.02111E+13,,,,126.7298895,37.41680055,6,2.02312E+13,4,,가리비칼국수,21656
경기도 포천시 이동면 장암리,,31,0,A01,A0101,A01010400,125463,12,2.00307E+13,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image3_1.jpg,Type3,127.4028046,38.04330089,6,2.02311E+13,29,,가리산(포천),11111
강원특별자치도 홍천군 두촌면 가리산길 260-9,,32,0,A01,A0101,A01010400,125593,12,2.00303E+13,,,,127.9988087,37.8543979,6,2.02406E+13,16,,가리산(홍천),25164
